target,Cases 1 days before,Recovered 1 days before,Deaths 1 days before,Cases 2 days before,Recovered 2 days before,Deaths 2 days before,Cases 3 days before,Recovered 3 days before,Deaths 3 days before,Cases 4 days before,Recovered 4 days before,Deaths 4 days before,Cases 5 days before,Recovered 5 days before,Deaths 5 days before,Cases 6 days before,Recovered 6 days before,Deaths 6 days before,Cases 7 days before,Recovered 7 days before,Deaths 7 days before
"[241, 257, 8]",401,222,24,411,286,22,322,279,23,556,315,27,330,118,11,345,261,15,288,253,9
"[272, 276, 10]",241,257,8,401,222,24,411,286,22,322,279,23,556,315,27,330,118,11,345,261,15
"[356, 177, 11]",272,276,10,241,257,8,401,222,24,411,286,22,322,279,23,556,315,27,330,118,11
"[382, 275, 12]",356,177,11,272,276,10,241,257,8,401,222,24,411,286,22,322,279,23,556,315,27
"[471, 280, 14]",382,275,12,356,177,11,272,276,10,241,257,8,401,222,24,411,286,22,322,279,23
"[403, 269, 10]",471,280,14,382,275,12,356,177,11,272,276,10,241,257,8,401,222,24,411,286,22
"[472, 279, 10]",403,269,10,471,280,14,382,275,12,356,177,11,272,276,10,241,257,8,401,222,24
"[316, 246, 11]",472,279,10,403,269,10,471,280,14,382,275,12,356,177,11,272,276,10,241,257,8
"[361, 217, 3]",316,246,11,472,279,10,403,269,10,471,280,14,382,275,12,356,177,11,272,276,10
"[341, 82, 11]",361,217,3,316,246,11,472,279,10,403,269,10,471,280,14,382,275,12,356,177,11
"[443, 744, 17]",341,82,11,361,217,3,316,246,11,472,279,10,403,269,10,471,280,14,382,275,12
"[396, 310, 4]",443,744,17,341,82,11,361,217,3,316,246,11,472,279,10,403,269,10,471,280,14
"[352, 230, 10]",396,310,4,443,744,17,341,82,11,361,217,3,316,246,11,472,279,10,403,269,10
"[333, 132, 13]",352,230,10,396,310,4,443,744,17,341,82,11,361,217,3,316,246,11,472,279,10
"[412, 324, 10]",333,132,13,352,230,10,396,310,4,443,744,17,341,82,11,361,217,3,316,246,11
"[219, 255, 3]",412,324,10,333,132,13,352,230,10,396,310,4,443,744,17,341,82,11,361,217,3
"[374, 178, 10]",219,255,3,412,324,10,333,132,13,352,230,10,396,310,4,443,744,17,341,82,11
"[236, 277, 18]",374,178,10,219,255,3,412,324,10,333,132,13,352,230,10,396,310,4,443,744,17
"[292, 288, 23]",236,277,18,374,178,10,219,255,3,412,324,10,333,132,13,352,230,10,396,310,4
"[361, 213, 2]",292,288,23,236,277,18,374,178,10,219,255,3,412,324,10,333,132,13,352,230,10
"[362, 183, 20]",361,213,2,292,288,23,236,277,18,374,178,10,219,255,3,412,324,10,333,132,13
"[576, 231, 14]",362,183,20,361,213,2,292,288,23,236,277,18,374,178,10,219,255,3,412,324,10
"[575, 214, 4]",576,231,14,362,183,20,361,213,2,292,288,23,236,277,18,374,178,10,219,255,3
"[599, 143, 9]",575,214,4,576,231,14,362,183,20,361,213,2,292,288,23,236,277,18,374,178,10
"[400, 198, 19]",599,143,9,575,214,4,576,231,14,362,183,20,361,213,2,292,288,23,236,277,18
"[282, 215, 23]",400,198,19,599,143,9,575,214,4,576,231,14,362,183,20,361,213,2,292,288,23
"[359, 285, 9]",282,215,23,400,198,19,599,143,9,575,214,4,576,231,14,362,183,20,361,213,2
"[376, 109, 7]",359,285,9,282,215,23,400,198,19,599,143,9,575,214,4,576,231,14,362,183,20
"[440, 299, 15]",376,109,7,359,285,9,282,215,23,400,198,19,599,143,9,575,214,4,576,231,14
"[375, 122, 10]",440,299,15,376,109,7,359,285,9,282,215,23,400,198,19,599,143,9,575,214,4
"[396, 157, 9]",375,122,10,440,299,15,376,109,7,359,285,9,282,215,23,400,198,19,599,143,9
"[407, 271, 16]",396,157,9,375,122,10,440,299,15,376,109,7,359,285,9,282,215,23,400,198,19
